Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,Run40,Run41,Run42,Run43,Run44,Run45,Run46,Run47,Run48,Run49,Run50,Run51,Run52,Run53,Run54,Run55,Run56,Run57,Run58,Run59,Run60,Run61,Run62,Run63,Run64,Run65,Run66,Run67,Run68,Run69,Run70,Run71,Run72,Run73,Run74,Run75,Run76,Run77,Run78,Run79,Run80,Run81,Run82,Run83,Run84,Run85,Run86,Run87,Run88,Run89,Run90,Run91,Run92,Run93,Run94,Run95,Run96,Run97,Run98,Run99,Run100,Run101,Run102,Run103,Run104,Run105,Run106,Run107,Run108,Run109,Run110,Run111,Run112
3605.91,3607.6,3605.98,3607.22,3606.54,3606.43,3606.35,3606.96,3607.06,3606.2,3607.35,3605.79,3606.7,3606.2,3607.01,3607.48,3606.95,3606.65,3606.28,3605.92,3606.9,3606.44,3607.32,3606.64,3606.37,3606,3606.07,3606.03,3606.21,3605.81,3606.19,3605.49,3606.43,3606.5,3605.81,3606.72,3607.19,3607.13,3606.69,3606.46,3606.75,3606.16,3606.59,3606.36,3607.11,3606.27,3608.18,3607.01,3606.23,3605.82,3606.85,3606.11,3606.87,3606.18,3606.22,3605.66,3607.33,3605.31,3605.61,3606.51,3606.79,3605.98,3606.56,3607.35,3606.51,3607.21,3607.73,3607.38,3607.04,3606.65,3606.39,3606.19,3606.82,3606.97,3607.61,3606.45,3606.06,3607.4,3606.21,3607.83,3607.62,3607.18,3606.31,3605.62,3606.09,3606.22,3606.03,3608.28,3606.79,3606.44,3606.7,3607.8,3607.87,3607.42,3606.9,3606.39,3605.92,3606.09,3606.16,3609.26,3607.04,3606.5,3606.6,3606.83,3606.97,3606.14,3606.73,3605.4,3606.19,3606.71,3606.62,3607.75,3605.94
3602.33,3605.4,3602.92,3604.26,3604.9,3603.96,3602.76,3603.74,3604.78,3603.27,3605.2,3602.53,3603.62,3602.66,3605.71,3605.48,3604.82,3603.22,3604.51,3603.41,3603.95,3603.56,3604.92,3603.71,3604.3,3602.95,3604.55,3601.95,3602.49,3602.18,3603.29,3603.17,3603.24,3602.92,3602.17,3604.05,3604.67,3604.26,3603.98,3603.23,3603.53,3603.23,3603.89,3603.08,3604.66,3603.17,3605.7,3603.96,3602.76,3601.81,3603.41,3602.52,3604.81,3602.61,3602.94,3602.19,3607.89,3601.96,3601.52,3603.17,3603.79,3602.67,3603.81,3604.97,3603.19,3604.94,3605.61,3605.68,3604.16,3603.67,3604.06,3602.52,3603.45,3604.35,3606.94,3602.9,3603.13,3605.66,3604.34,3606,3607.37,3606.79,3604.06,3602.64,3602.3,3603.34,3603.55,3606.4,3603.6,3603.43,3604.59,3605.35,3605.66,3605.01,3604.16,3603.1,3601.99,3602.32,3602.69,3607.77,3603.85,3604.23,3604.3,3603.9,3604.18,3602.7,3603.81,3601.7,3603.1,3604.75,3603.94,3606.75,3602.35
3601.33,3605.3,3600.64,3602.82,3608.41,3603.19,3599.57,3600.78,3605.26,3600.18,3608.75,3599.64,3601.72,3601.09,3603.84,3606.04,3604.6,3599.79,3601.93,3601.05,3601.99,3601.2,3604.37,3604.3,3601.86,3599.65,3602.41,3599.15,3598.58,3598.05,3600.05,3601.46,3602.75,3601.81,3598.59,3601.83,3603.3,3601.61,3601.17,3599.47,3600.92,3601.4,3601.59,3601.27,3602.96,3599.99,3602.58,3600.63,3598.91,3599.83,3600.96,3599.39,3603.19,3598.64,3600.17,3598.12,3606.66,3599.66,3597.31,3599.42,3603.89,3600.09,3600.85,3602.76,3599.83,3603,3604.98,3606.04,3603.31,3601.64,3601.38,3598.01,3601.34,3603.54,3605.63,3599.3,3601.51,3606.62,3603.66,3608.66,3609.03,3608.29,3602.8,3601.9,3598.64,3600.56,3601.45,3606.2,3601.85,3602.57,3601.81,3606.9,3605.2,3603.29,3601.64,3600.92,3598.38,3599.42,3600.96,3606.19,3601.43,3604.8,3602.65,3601.27,3602.2,3600.8,3602.47,3597.52,3600.39,3603.12,3602.12,3609.56,3598.82
3602.08,3611.21,3597.9,3602.94,3612.62,3602.45,3596.01,3605.92,3607.56,3602.21,3614.78,3600.91,3600.49,3601.72,3603.59,3601.89,3604.98,3601.62,3605.15,3602.72,3605.67,3602.84,3603.77,3604.94,3606.3,3596.56,3607.99,3594.96,3598.89,3593.54,3599.95,3603.71,3606.11,3601.75,3595.78,3601.84,3617.48,3605.15,3598.55,3595.66,3600.25,3599.52,3604.96,3601.81,3602.24,3596.04,3612.45,3596.93,3596.11,3596.48,3599.48,3594.72,3606.92,3594.03,3604.87,3593.79,3616.02,3596.45,3592.9,3601.43,3604.04,3597.01,3596.75,3607.9,3597.14,3604.79,3602.08,3607.39,3602.83,3599.55,3598.14,3592.9,3603.23,3609.38,3607.76,3595.59,3601.06,3605.69,3608.06,3624.23,3622.08,3615.15,3602.92,3601.79,3594.72,3597.78,3602.29,3610.55,3599.18,3602.1,3602.87,3612.33,3609.37,3602.97,3602.41,3598.84,3594.72,3596.09,3600.33,3611.69,3605.37,3605.12,3604.08,3601.18,3602.47,3602.45,3602.34,3592.69,3600.74,3600.38,3601.05,3618.74,3595
3617.05,3622.74,3596.82,3620.26,3624.21,3616.41,3612.93,3615.85,3629.27,3610.26,3631.61,3617.84,3609.6,3613.12,3636.53,3621.56,3628.81,3617.85,3617.99,3607.48,3619.09,3624.11,3624.83,3623.71,3608.84,3595.04,3629.45,3594.01,3604.4,3593.02,3617.23,3621.3,3623.65,3610.84,3601.68,3632.3,3632.1,3611.31,3612.87,3606.87,3600.82,3614.72,3622.79,3617.81,3604.25,3597.85,3640.76,3596.2,3596.25,3598.33,3607.03,3602.97,3630.98,3592.04,3608.25,3592.4,3634.44,3596.99,3595.84,3620.16,3610.5,3597.81,3600.08,3622.82,3613.62,3608.7,3601.13,3629.41,3614.72,3608.36,3600.46,3588.9,3611.01,3628.14,3628.23,3592.83,3611.63,3622.41,3644.62,3651.3,3644.51,3629.32,3605.7,3602.56,3591.87,3601.81,3609.76,3635.18,3604.13,3614.3,3616.52,3635.91,3624.65,3609.9,3610.45,3607.97,3590.91,3599.85,3602.49,3630.04,3616.75,3610.64,3619.8,3619.54,3606.33,3619.25,3600.05,3593.5,3609.66,3602.6,3608.51,3633.12,3596
3635.26,3643.81,3598.45,3650.96,3628.95,3627.82,3639.26,3618.98,3655.02,3619.41,3645.06,3650.51,3627.34,3615.32,3666.8,3658.12,3650.45,3635.58,3629.94,3609.44,3632.97,3634.92,3638.33,3641.35,3616.17,3594.94,3641.77,3610.68,3605.11,3607.99,3621.98,3628.31,3643,3610.05,3601.27,3648.44,3649.8,3616.59,3628.28,3615.64,3601.8,3624.06,3632.66,3636.62,3611.49,3605.17,3666.95,3606.67,3593.91,3597.17,3614.23,3630.32,3646.86,3594.89,3613.63,3592.64,3643.09,3594.92,3598,3638.4,3609.04,3607.08,3616.35,3625.64,3625.57,3621.12,3607.13,3648.22,3621.18,3627.62,3601.81,3584.42,3629.56,3649.36,3648.83,3593.19,3626,3654.26,3671.88,3668.03,3663.83,3633.19,3608.3,3599.17,3592.32,3606.65,3609.12,3654.75,3604.43,3641.96,3625,3659.58,3634.02,3622.21,3611.87,3607.37,3587.01,3604.83,3599.43,3644.58,3619.1,3608.51,3636.65,3626.6,3615.2,3647.67,3595.7,3591.04,3619.65,3613.48,3618.37,3643.36,3593.89
3642.76,3662.45,3597.02,3665.27,3627.13,3629.92,3646.64,3617.83,3662.39,3621.43,3649.86,3664.98,3629.66,3612.77,3675.78,3662.66,3652.95,3642.35,3629.46,3608.19,3633.43,3643.83,3640.74,3642.84,3612.67,3591.96,3647.46,3609.76,3603.11,3609.3,3619.91,3628.47,3646.94,3604.6,3597.15,3652.47,3650.68,3617.19,3631,3617.91,3597.46,3628.04,3630.3,3641.55,3610.58,3605.73,3669.85,3604.62,3589.5,3592.93,3608.78,3648.41,3644.29,3592.94,3609.26,3587.61,3645.66,3589.27,3593.91,3648.97,3603.86,3606.49,3613.65,3625.69,3627.06,3622.5,3602.55,3653.62,3620.52,3640.28,3596.31,3578.53,3633.57,3654.3,3649.79,3589.13,3631.49,3666.35,3681.63,3669.67,3670.77,3628.13,3603.09,3592.56,3588.22,3602.36,3604.5,3657.7,3597.46,3661.11,3623.38,3662.6,3636.33,3625.28,3606.75,3600.71,3580.79,3599.43,3593.55,3644.74,3614.83,3602.05,3640.05,3624.79,3610.12,3661.75,3589.55,3585.13,3616.01,3610.74,3615.12,3642.11,3588.54
3644.42,3665.02,3592.1,3667.92,3623.85,3626.3,3645.09,3612.37,3661.04,3617.49,3653.27,3662.14,3625.03,3607.65,3675.47,3661.82,3651.12,3642.78,3625.13,3603.15,3629.11,3642.58,3636.74,3641.99,3613.87,3583.77,3646.56,3604.08,3593.71,3604.22,3616.71,3624.14,3644.26,3597.27,3588.17,3650.62,3647.55,3615,3625.95,3616.31,3591.11,3627.02,3625.43,3637.54,3604.81,3601.64,3668.76,3601.35,3583.6,3586.65,3602.03,3647.87,3640.05,3584.95,3601.84,3579.53,3641.19,3580.79,3587.34,3649.33,3597.67,3601.53,3611.46,3621.52,3623.47,3618.11,3596.52,3650.73,3615.74,3637.74,3589.07,3572.26,3629.92,3651.69,3645.41,3580.11,3632.06,3663.77,3682.78,3667.71,3669.37,3623.5,3596.07,3585.02,3579.6,3596.6,3598.88,3654.82,3589.47,3661.6,3617.27,3662.46,3634.26,3626.64,3600.31,3593.81,3572.47,3591.6,3584.45,3641.36,3610.07,3595.72,3635.27,3618.59,3605.18,3661.34,3581.48,3577.06,3611.21,3604.49,3609.37,3638.72,3580.27
3649.6,3666.69,3589.81,3671.98,3622.69,3625.74,3643.89,3610.57,3660.83,3615.02,3654.05,3658.68,3622.61,3605.59,3674.99,3659.37,3649.9,3644.23,3621.85,3605.88,3625.37,3651.08,3634.03,3645.22,3611.54,3578.9,3646.51,3600.69,3586,3602.45,3614.93,3621.9,3646.17,3594.16,3583.34,3650.4,3644.94,3613.55,3621.64,3612.82,3586.97,3625.23,3621.38,3633.95,3600.93,3598.62,3667.82,3598.47,3580.14,3583.17,3597.23,3647.36,3637.4,3579.54,3596.8,3578.81,3637.78,3578.01,3581.8,3650.2,3593.55,3597.66,3607.36,3620.62,3624.13,3616.11,3593.41,3648.99,3612.5,3636.17,3584.71,3568.27,3627.48,3649.38,3644.51,3576.73,3634.02,3659.39,3682.19,3666.45,3670.74,3620.36,3591.38,3579.56,3575.73,3594.46,3596.11,3653.58,3584.69,3659.98,3614.02,3666.17,3633.73,3628.37,3596.42,3589.09,3569.38,3588.3,3578.89,3639.06,3607.07,3591.68,3631.71,3614.73,3601.09,3661.12,3576.32,3578,3609.85,3600.68,3606.01,3636.15,3574.3
3650.52,3666.27,3587.01,3673.01,3621.29,3628.22,3643.62,3610.06,3662.37,3613.23,3659.22,3657.86,3621.57,3602.41,3674.16,3658.28,3647.55,3644.29,3619.09,3608.13,3623.2,3653.76,3633.71,3646.68,3610.64,3576.48,3644.31,3597.97,3581.04,3600.09,3612.41,3619.84,3645.29,3590.27,3582.5,3658.08,3642.46,3611.3,3618.85,3611.98,3583.83,3625.67,3618.65,3632.84,3598.67,3596.23,3665.94,3594.77,3578.21,3578.29,3592.99,3647.8,3634.44,3576.73,3593.2,3579.08,3636.39,3573.5,3577.5,3651.28,3589.61,3593.72,3605.73,3620.49,3623.07,3616.05,3597.37,3647.17,3609.63,3634.21,3581.63,3565.23,3624.89,3646.61,3641.93,3575.28,3635.1,3660.18,3682.97,3668.02,3673.87,3619.16,3587.9,3575,3573.36,3591.29,3592.77,3652.53,3581.92,3659.15,3612.26,3667.75,3633.46,3627.06,3593.38,3584.74,3567.03,3584.68,3576.88,3638.75,3612.9,3589.68,3629.49,3611.79,3599.26,3660.88,3572.2,3575.8,3610.56,3599.73,3604.12,3634.51,3573.1
